,title,dept,procurement_stage,notice_status,contract location,contract_value,publication_year,closing_year,status
0,GB-Bath: Cryogen-Free Cryostat		,University of Bath, Opportunity, Open, South West,100000.0,2022.0,2022,Closing
1,L22021-T-JC Christmas Decorations 2022		,London Luton Airport, Opportunity, Open, LU2 9LY,200000.0,2022.0,2022,Closing
2,"CLOSED CHURCHYARDS (1052) 3 YEAR TERM SERVICES CONTRACT. REPAIR AND MAINTENANCE WORKS TO BOUNDARY WALLS, FENCES AND FOOTPATHS		",Teignbridge District Council, Opportunity, Open, South West,,2022.0,2022,Closing
3,"Design, Supply and Installation of Solar PV at Todmorden Leisure Centre		",The Borough Council of Calderdale, Opportunity, Open, Yorkshire and the Humber,100000.0,2022.0,2022,Closing
4,NCC624 Belford First School Roofing Works		,Northumberland County Council, Opportunity, Open, England,,2022.0,2022,Closing
5,EastBrook School Additional Resource Provision (Construction)		,London Borough of Barking and Dagenham, Opportunity, Open, RM10 7UR,,2022.0,2022,Closing
6,Strategy Management Software Platform		,University of Bristol, Opportunity, Open, South West,,2022.0,2022,Closing
7,Invitation to develop Patient Data Applications for Orthopaedic Surgery		,EVENTUM ORTHOPAEDICS LTD, Opportunity, Open, LS29 8QH,,2022.0,2022,Closing
8,Invitation to tender for the provision of state aid advice for Falmouth University's ERDF LaunchPad Post-Graduate Business Incubation Programme.		,Falmouth Exeter Plus, Opportunity, Open, South West,10000.0,2022.0,2022,Closing
9,Coaching Network for Enterprise Coaches		,City of Bradford Metropolitan District Council, Opportunity, Open, BD1 1HX,50000.0,2022.0,2022,Closing
10,Provision of Consultancy Services for the independent review of modelling and economic appraisal methodology used on the 10A Green Bus Routes project		,Merseytravel, Opportunity, Open, North West,20000.0,2022.0,2022,Closing
11,Provision of Packaging Material and Ancillary products		,FCDO Services, Opportunity, Open, MK19 7BH,500000.0,2022.0,2022,Closing
12,Insights into Barriers to Access Drug and Alcohol Treatment Services		,Kent County Council, Opportunity, Open, South East,49500.0,2022.0,2022,Closing
13,Tybalds Regeneration Phase 1 Early Market Engagement		,London Borough of Camden, Early engagement, Open, England,1.0,2022.0,2022,Closing
14,Hackney Education Independent and Non-Maintained Special Schools Accreditation		,London Borough of Hackney, Opportunity, Open, England,,2022.0,2022,Closing
15,Electric Car Club - Expression of Interest opportunity		,Torbay Council, Early engagement, Open, South West,1.0,2022.0,2022,Closing
16,WDC/SDC - Consultancy service for a Heritage Sites study of the South Warwickshire Local Plan		,Warwick District Council (WDC), Opportunity, Open, CV32 5HZ,30000.0,2022.0,2022,Closing
17,Getting Court - Awareness Project for Young People		,South West Police Procurement Services, Opportunity, Open, South West,150000.0,2022.0,2022,Closing
18,Border Force patrol vessel maintenance		,Home Office, Early engagement, Open," South East, South West",1.0,2022.0,2022,Closing
19,Bikeability Cycle Training Delivery 2022/23		,Doncaster Council, Opportunity, Open, Yorkshire and the Humber,29250.0,2022.0,2022,Closing
20,GB-Bath: Cryogen-Free Cryostat		,University of Bath, Opportunity, Open, South West,100000.0,2022.0,2022,Closing
21,L22021-T-JC Christmas Decorations 2022		,London Luton Airport, Opportunity, Open, LU2 9LY,200000.0,2022.0,2022,Closing
22,"CLOSED CHURCHYARDS (1052) 3 YEAR TERM SERVICES CONTRACT. REPAIR AND MAINTENANCE WORKS TO BOUNDARY WALLS, FENCES AND FOOTPATHS		",Teignbridge District Council, Opportunity, Open, South West,,2022.0,2022,Closing
23,"Design, Supply and Installation of Solar PV at Todmorden Leisure Centre		",The Borough Council of Calderdale, Opportunity, Open, Yorkshire and the Humber,100000.0,2022.0,2022,Closing
24,NCC624 Belford First School Roofing Works		,Northumberland County Council, Opportunity, Open, England,,2022.0,2022,Closing
25,EastBrook School Additional Resource Provision (Construction)		,London Borough of Barking and Dagenham, Opportunity, Open, RM10 7UR,,2022.0,2022,Closing
26,Strategy Management Software Platform		,University of Bristol, Opportunity, Open, South West,,2022.0,2022,Closing
27,Invitation to develop Patient Data Applications for Orthopaedic Surgery		,EVENTUM ORTHOPAEDICS LTD, Opportunity, Open, LS29 8QH,,2022.0,2022,Closing
28,Invitation to tender for the provision of state aid advice for Falmouth University's ERDF LaunchPad Post-Graduate Business Incubation Programme.		,Falmouth Exeter Plus, Opportunity, Open, South West,10000.0,2022.0,2022,Closing
29,Coaching Network for Enterprise Coaches		,City of Bradford Metropolitan District Council, Opportunity, Open, BD1 1HX,50000.0,2022.0,2022,Closing
30,Provision of Consultancy Services for the independent review of modelling and economic appraisal methodology used on the 10A Green Bus Routes project		,Merseytravel, Opportunity, Open, North West,20000.0,2022.0,2022,Closing
31,Provision of Packaging Material and Ancillary products		,FCDO Services, Opportunity, Open, MK19 7BH,500000.0,2022.0,2022,Closing
32,Insights into Barriers to Access Drug and Alcohol Treatment Services		,Kent County Council, Opportunity, Open, South East,49500.0,2022.0,2022,Closing
33,Tybalds Regeneration Phase 1 Early Market Engagement		,London Borough of Camden, Early engagement, Open, England,1.0,2022.0,2022,Closing
34,Hackney Education Independent and Non-Maintained Special Schools Accreditation		,London Borough of Hackney, Opportunity, Open, England,,2022.0,2022,Closing
35,Electric Car Club - Expression of Interest opportunity		,Torbay Council, Early engagement, Open, South West,1.0,2022.0,2022,Closing
36,WDC/SDC - Consultancy service for a Heritage Sites study of the South Warwickshire Local Plan		,Warwick District Council (WDC), Opportunity, Open, CV32 5HZ,30000.0,2022.0,2022,Closing
37,Getting Court - Awareness Project for Young People		,South West Police Procurement Services, Opportunity, Open, South West,150000.0,2022.0,2022,Closing
38,Border Force patrol vessel maintenance		,Home Office, Early engagement, Open," South East, South West",1.0,2022.0,2022,Closing
39,Bikeability Cycle Training Delivery 2022/23		,Doncaster Council, Opportunity, Open, Yorkshire and the Humber,29250.0,2022.0,2022,Closing
40,Provision of CSI Level 1 and Level 2 training course		,Joint Procurement Service for Surrey and Sussex Police, Opportunity, Open, South East,350000.0,2022.0,2022,Closing
41,CA10244 - Dixons Academies Trust - The Provision of Shared Services Process Mapping		,Dixons Academies Charitable Trust Ltd, Opportunity, Open, BD5 7RR,,2022.0,2022,Closing
42,Residential based Crisis Recovery House		,Central & North West London NHS Foundation Trust and West London NHS Trust Joint Procurement Service, Opportunity, Open, England,,2022.0,2022,Closing
43,Biometric Matcher Platform and associated Services		,Home Office, Opportunity, Open, London,,2022.0,2022,Closing
44,Accommodation Required in County Durham DN605514		,Durham County Council, Opportunity, Open, North East,,2022.0,2022,Closing
45,UKRI-1800 Geotechnical Advisor for UKRI-NERC		,UK Research & Innovation, Opportunity, Open, Any region,,2022.0,2022,Closing
46,BTA1701 - Data Transformation		,VisitBritain/VisitEngland, Future opportunity, Open, SW1W 0BD,,2022.0,2022,Approach
47,Low Carbon Devon Test and Deployment Facility		,EU SUPPLY LIMITED, Opportunity, Open, South West,68500.0,2022.0,2022,Closing
48,Therapeutic Services		,West Sussex County Council, Opportunity, Open, PO19 1RQ,,2022.0,2022,Closing
49,LPS CAS - Street Lighting Materials - RFQ 15329097		,Lancashire County Council, Opportunity, Open, North West,4000000.0,2022.0,2022,Closing
50,Washroom Services Framework for Schools and Corporate Buildings within the City of Southend on Sea		,Southend-on-Sea Borough Council, Opportunity, Open, SS2 6FA,120000.0,2022.0,2022,Closing
51,High Intensity User Service NHS/SOEPS/21.825 ITT		,NHS SOUTH OF ENGLAND PROCUREMENT SERVICES, Opportunity, Open, South East,,2022.0,2022,Closing
52,UK_2022_Taiwan Ministry of Education EMI Programme Evaluation Project		,British Council, Opportunity, Open, E20 1JQ,,2022.0,2022,Closing
53,Period Product provision to schools and post-16 education organisations across England		,Department for Education, Opportunity, Open, NG1 6HG,24000000.0,2022.0,2022,Closing
54,Coaching Network for Enterprise Coaches		,City of Bradford Metropolitan District Council, Opportunity, Open, BD1 1HX,50000.0,2022.0,2022,Closing
55,Communication Masts Re wiring work Sir William Hill and Alport Heights		,The Police and Crime Commissioner for Derbyshire, Opportunity, Open, DE5 3RS,100000.0,2022.0,2022,Closing
56,Website Design and Build		,City College Plymouth, Opportunity, Open, PL1 5QG,,2022.0,2022,Closing
57,Windows 10 Version Upgrade Deployment Support Market Engagement		,University Hospitals Birmingham NHS Foundation Trust, Early engagement, Open, West Midlands,1.0,2022.0,2022,Closing
58,Hayescroft - Adaptations		,West Lancashire Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
59,Play Area Redevelopment		,Bishop's Cleeve Parish Council, Opportunity, Open, GL52 8LZ,70000.0,2022.0,2022,Closing
60,GB-Bath: Cryogen-Free Cryostat		,University of Bath, Opportunity, Open, South West,100000.0,2022.0,2022,Closing
61,L22021-T-JC Christmas Decorations 2022		,London Luton Airport, Opportunity, Open, LU2 9LY,200000.0,2022.0,2022,Closing
62,"CLOSED CHURCHYARDS (1052) 3 YEAR TERM SERVICES CONTRACT. REPAIR AND MAINTENANCE WORKS TO BOUNDARY WALLS, FENCES AND FOOTPATHS		",Teignbridge District Council, Opportunity, Open, South West,,2022.0,2022,Closing
63,"Design, Supply and Installation of Solar PV at Todmorden Leisure Centre		",The Borough Council of Calderdale, Opportunity, Open, Yorkshire and the Humber,100000.0,2022.0,2022,Closing
64,NCC624 Belford First School Roofing Works		,Northumberland County Council, Opportunity, Open, England,,2022.0,2022,Closing
65,EastBrook School Additional Resource Provision (Construction)		,London Borough of Barking and Dagenham, Opportunity, Open, RM10 7UR,,2022.0,2022,Closing
66,Strategy Management Software Platform		,University of Bristol, Opportunity, Open, South West,,2022.0,2022,Closing
67,Invitation to develop Patient Data Applications for Orthopaedic Surgery		,EVENTUM ORTHOPAEDICS LTD, Opportunity, Open, LS29 8QH,,2022.0,2022,Closing
68,Invitation to tender for the provision of state aid advice for Falmouth University's ERDF LaunchPad Post-Graduate Business Incubation Programme.		,Falmouth Exeter Plus, Opportunity, Open, South West,10000.0,2022.0,2022,Closing
69,Coaching Network for Enterprise Coaches		,City of Bradford Metropolitan District Council, Opportunity, Open, BD1 1HX,50000.0,2022.0,2022,Closing
70,Provision of Consultancy Services for the independent review of modelling and economic appraisal methodology used on the 10A Green Bus Routes project		,Merseytravel, Opportunity, Open, North West,20000.0,2022.0,2022,Closing
71,Provision of Packaging Material and Ancillary products		,FCDO Services, Opportunity, Open, MK19 7BH,500000.0,2022.0,2022,Closing
72,Insights into Barriers to Access Drug and Alcohol Treatment Services		,Kent County Council, Opportunity, Open, South East,49500.0,2022.0,2022,Closing
73,Tybalds Regeneration Phase 1 Early Market Engagement		,London Borough of Camden, Early engagement, Open, England,1.0,2022.0,2022,Closing
74,Hackney Education Independent and Non-Maintained Special Schools Accreditation		,London Borough of Hackney, Opportunity, Open, England,,2022.0,2022,Closing
75,Electric Car Club - Expression of Interest opportunity		,Torbay Council, Early engagement, Open, South West,1.0,2022.0,2022,Closing
76,WDC/SDC - Consultancy service for a Heritage Sites study of the South Warwickshire Local Plan		,Warwick District Council (WDC), Opportunity, Open, CV32 5HZ,30000.0,2022.0,2022,Closing
77,Getting Court - Awareness Project for Young People		,South West Police Procurement Services, Opportunity, Open, South West,150000.0,2022.0,2022,Closing
78,Border Force patrol vessel maintenance		,Home Office, Early engagement, Open," South East, South West",1.0,2022.0,2022,Closing
79,Bikeability Cycle Training Delivery 2022/23		,Doncaster Council, Opportunity, Open, Yorkshire and the Humber,29250.0,2022.0,2022,Closing
80,Provision of CSI Level 1 and Level 2 training course		,Joint Procurement Service for Surrey and Sussex Police, Opportunity, Open, South East,350000.0,2022.0,2022,Closing
81,CA10244 - Dixons Academies Trust - The Provision of Shared Services Process Mapping		,Dixons Academies Charitable Trust Ltd, Opportunity, Open, BD5 7RR,,2022.0,2022,Closing
82,Residential based Crisis Recovery House		,Central & North West London NHS Foundation Trust and West London NHS Trust Joint Procurement Service, Opportunity, Open, England,,2022.0,2022,Closing
83,Biometric Matcher Platform and associated Services		,Home Office, Opportunity, Open, London,,2022.0,2022,Closing
84,Accommodation Required in County Durham DN605514		,Durham County Council, Opportunity, Open, North East,,2022.0,2022,Closing
85,UKRI-1800 Geotechnical Advisor for UKRI-NERC		,UK Research & Innovation, Opportunity, Open, Any region,,2022.0,2022,Closing
86,BTA1701 - Data Transformation		,VisitBritain/VisitEngland, Future opportunity, Open, SW1W 0BD,,2022.0,2022,Approach
87,Low Carbon Devon Test and Deployment Facility		,EU SUPPLY LIMITED, Opportunity, Open, South West,68500.0,2022.0,2022,Closing
88,Therapeutic Services		,West Sussex County Council, Opportunity, Open, PO19 1RQ,,2022.0,2022,Closing
89,LPS CAS - Street Lighting Materials - RFQ 15329097		,Lancashire County Council, Opportunity, Open, North West,4000000.0,2022.0,2022,Closing
90,Washroom Services Framework for Schools and Corporate Buildings within the City of Southend on Sea		,Southend-on-Sea Borough Council, Opportunity, Open, SS2 6FA,120000.0,2022.0,2022,Closing
91,High Intensity User Service NHS/SOEPS/21.825 ITT		,NHS SOUTH OF ENGLAND PROCUREMENT SERVICES, Opportunity, Open, South East,,2022.0,2022,Closing
92,UK_2022_Taiwan Ministry of Education EMI Programme Evaluation Project		,British Council, Opportunity, Open, E20 1JQ,,2022.0,2022,Closing
93,Period Product provision to schools and post-16 education organisations across England		,Department for Education, Opportunity, Open, NG1 6HG,24000000.0,2022.0,2022,Closing
94,Coaching Network for Enterprise Coaches		,City of Bradford Metropolitan District Council, Opportunity, Open, BD1 1HX,50000.0,2022.0,2022,Closing
95,Communication Masts Re wiring work Sir William Hill and Alport Heights		,The Police and Crime Commissioner for Derbyshire, Opportunity, Open, DE5 3RS,100000.0,2022.0,2022,Closing
96,Website Design and Build		,City College Plymouth, Opportunity, Open, PL1 5QG,,2022.0,2022,Closing
97,Windows 10 Version Upgrade Deployment Support Market Engagement		,University Hospitals Birmingham NHS Foundation Trust, Early engagement, Open, West Midlands,1.0,2022.0,2022,Closing
98,Hayescroft - Adaptations		,West Lancashire Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
99,Play Area Redevelopment		,Bishop's Cleeve Parish Council, Opportunity, Open, GL52 8LZ,70000.0,2022.0,2022,Closing
100,Waste Contract 2022		,City College Plymouth, Opportunity, Open, PL1 5QG,,2022.0,2022,Closing
101,CA10279 - Macclesfield College - Student Transport Provision		,Macclesfield College, Opportunity, Open, SK11 8LF,,2022.0,2022,Closing
102,Provision of Catering Services For Galileo Multi Academy Trust		,GALILEO MULTI ACADEMY TRUST, Opportunity, Open, North East,,2022.0,2022,Closing
103,Contract for Home to School Transport  for Wellfield School		,Durham County Council, Opportunity, Open, England,,2022.0,2022,Closing
104,Baseline Carbon Footprint Assessment and Science Based Target Setting		,CTM Portal for the NDA Shared Services Alliance, Opportunity, Open, WA3 6AE,80000.0,2022.0,2022,Closing
105,"LAWRENCE HOUSE MUSEUM, LAUNCESTON REPAIR, MAINTENANCE AND IMPROVEMENT WORKS		",Launceston Town Hall, Opportunity, Open, PL158BA,192000.0,2022.0,2022,Closing
106,Provision of Derbyshire Sexual Assault Referral Service (SARC)		,NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT, Opportunity, Open, East Midlands,3754727.15,2022.0,2022,Closing
107,PAPI 1021.2.1 - Solid Phase Extraction Reactor System		,University of York, Opportunity, Open, YO10 5GE,,2022.0,2022,Closing
108,CISCO SUPPORT INCLUDING WEBEX CALLING EA AND MIGRATION SERVICES		,Curo Group, Opportunity, Open, BA2 1EP,,2022.0,2022,Closing
109,"PQ0366 - Sponsorship Consultancy, Acquisition & Fulfilment:  World Trampoline & Tumbling Championships 2023		",Birmingham City Council, Opportunity, Open, B4 7DJ,,2022.0,2022,Closing
110,Ockbrook and Borrowash Parish Council Grounds Maintenance.		,Ockbrook & Borrowash Parish Council, Opportunity, Open, DE72 3SL,,2022.0,2022,Closing
111,Manor Crescent - Adaptations		,West Lancashire Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
112,GB-Birmingham: Servicing and Repair of Fire Safety Equipment		,The Pioneer Housing and Community Group Limited, Opportunity, Open, West Midlands,500000.0,2022.0,2022,Closing
113,Holmeswood Adaptations		,West Lancashire Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
114,DMU London		,De Montfort University, Opportunity, Open, LE1 9BH,200000000.0,2022.0,2022,Closing
